id,trt,add,add_new,rdp,epa,District,section,UTM_flsE,UTM_flsN,y95_96,mz_var,lite_txt,sitegrp,yield,N,P2O5,S,Nsq
710156,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71015,715200,8268900,1995/96,MH18,medium,Lower Shire valley,548.34,0,0,0,0
710166,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71016,723400,8272300,1995/96,MH18,light,Lower Shire valley,3143.81614,0,0,0,0
710176,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71017,717100,8275200,1995/96,MH18,light,Lower Shire valley,469.744588,0,0,0,0
710186,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71018,716900,8275200,1995/96,MH18,light,Lower Shire valley,2833.09,0,0,0,0
710196,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71019,704600,8297500,1995/96,MH18,medium,Lower Shire valley,1480.51807,0,0,0,0
710206,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71020,714100,8278400,1995/96,MH18,medium,Lower Shire valley,913.9,0,0,0,0
710216,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71021,709700,8282900,1995/96,MH18,light,Lower Shire valley,1462.24,0,0,0,0
710236,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71023,726100,8278700,1995/96,MH18,medium,Lower Shire valley,1279.46,0,0,0,0
710246,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71024,707100,8270300,1995/96,MH18,medium,Lower Shire valley,365.56,0,0,0,0
710276,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71027,715500,8267500,1995/96,MH18,medium,Lower Shire valley,621.452017,0,0,0,0
710286,0:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71028,720300,8287600,1995/96,MH18,medium,Lower Shire valley,1316.01597,0,0,0,0
710048,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71004,702900,8276100,1997/98,MH18,light,Lower Shire valley,3820.10193,35,10,2,1225
